
============================================================
compandit library quikie program
M. A. Chatterjee (c) 2012

These routines were developed for use on embedded projects
for more info see the accompanying compand.txt

 index   wave  actDCbias  calcDCbias  calcDCbias(f) alaw
     0   1860     1923       2047      2047.2656      94
     1   1862     1923       2046      2046.5312      94
     2   1864     1923       2045      2045.8125      94
     3   1866     1923       2045      2045.1094      94
     4   1868     1923       2044      2044.4062      94
     5   1870     1923       2043      2043.7188      95
     6   1872     1923       2043      2043.0469      95
     7   1874     1923       2042      2042.3750      95
     8   1876     1923       2041      2041.7188      95
     9   1878     1923       2041      2041.0781      95
    10   1880     1923       2040      2040.4375      95
    11   1882     1923       2039      2039.8125      92
    12   1884     1923       2039      2039.2031      92
    13   1886     1923       2038      2038.5938      92
    14   1888     1923       2038      2038.0000      92
    15   1890     1923       2037      2037.4219      92
    16   1892     1923       2036      2036.8438      92
    17   1894     1923       2036      2036.2812      93
    18   1896     1923       2035      2035.7188      93
    19   1898     1923       2035      2035.1719      93
    20   1900     1923       2034      2034.6406      93
    21   1902     1923       2034      2034.1094      93
    22   1904     1923       2033      2033.5938      93
    23   1906     1923       2033      2033.0938      82
    24   1908     1923       2032      2032.5938      82
    25   1910     1923       2032      2032.1094      82
    26   1912     1923       2031      2031.6250      82
    27   1914     1923       2031      2031.1562      82
    28   1916     1923       2030      2030.7031      82
    29   1918     1923       2030      2030.2500      82
    30   1920     1923       2029      2029.8125      83
    31   1922     1923       2029      2029.3906      83
    32   1924     1923       2028      2028.9688      83
    33   1926     1923       2028      2028.5625      83
    34   1928     1923       2028      2028.1562      83
    35   1930     1923       2027      2027.7656      83
    36   1932     1923       2027      2027.3906      80
    37   1934     1923       2027      2027.0156      80
    38   1936     1923       2026      2026.6562      80
    39   1938     1923       2026      2026.2969      80
    40   1940     1923       2025      2025.9531      80
    41   1942     1923       2025      2025.6250      80
    42   1944     1923       2025      2025.2969      80
    43   1946     1923       2024      2024.9844      81
    44   1948     1923       2024      2024.6719      81
    45   1950     1923       2024      2024.3750      81
    46   1952     1923       2024      2024.0781      81
    47   1954     1923       2023      2023.7969      81
    48   1956     1923       2023      2023.5312      81
    49   1958     1923       2023      2023.2656      81
    50   1960     1923       2023      2023.0156      86
    51   1962     1923       2022      2022.7656      86
